"name","death_date","description","pageviews","llm_knows_death","llm_response"
"Luca Giurato","2024-09-11","Italian journalist and television presenter (''Domenica in'', ''Unomattina'')","11473","False","Yes"
"Sitaram Yechury","2024-09-12","Indian politician","472199","False","Yes"
"Stephen Peat","2024-09-12","Canadian ice hockey player (Washington Capitals)","71080","False","Yes"
"Greg Harden","2024-09-12","American life coach and motivational speaker","44377","False","Yes"
"Hank","2024-09-12","American sports mascot dog (Milwaukee Brewers)","19349","True","No"
"Papa Kojak","2024-09-12","Jamaican musician","4060","False","Yes"
"Safeya Binzagr","2024-09-12","Saudi painter and museum owner","3885","False","Yes"
"Harry W. Crosby","2024-09-12","American historian and photographer","2937","False","Yes"
"María Daniela Icaza","2024-09-12","Ecuadorian prison director (Litoral Penitentiary)","2913","False","Yes"
"Julius Ansah","2024-09-12","Ghanaian jurist","2901","False","Yes"
"Santi Coch","2024-09-12","Spanish football player (Gimnàstic) and manager (Pobla Mafumet)","2519","True","No"
"Pravin Gordhan","2024-09-13","South African politician and anti-apartheid activist","100866","False","Yes"
"Tommy Cash","2024-09-13","American musician (""Six White Horses"")","75142","False","Yes"
"Lex Marinos","2024-09-13","Australian actor (''Kingswood Country'') and radio presenter (Triple J)","34207","False","Yes"
"Mary McFadden","2024-09-13","American designer","33326","False","Yes"
"Wolfgang Gerhardt","2024-09-13","German politician","24459","False","Yes"
"Franca Bettoia","2024-09-13","Italian actress (''A Man of Straw'', ''The Last Man on Earth'', ''Sandokan Against the Leopard of Sarawak'')","10200","False","Yes"
"Zbigniew Lew-Starowicz","2024-09-13","Polish psychiatrist and psychotherapist","5561","False","Yes"
"Lois Wilson","2024-09-13","Canadian politician and academic administrator","5214","False","Yes"
"Edward James Slattery","2024-09-13","American Roman Catholic prelate","5081","False","Yes"
"Moisés Canelo","2024-09-13","Honduran singer-songwriter","4692","True","No"
"Otis Davis","2024-09-14","American sprinter","32340","False","Yes"
"Berit Ås","2024-09-14","Norwegian politician","14152","False","Yes"
"Fernando Puche","2024-09-14","Spanish businessman","14102","False","Yes"
"Zubair Khan","2024-09-14","Indian politician","12296","False","Yes"
"Fred Nall Hollis","2024-09-14","American visual artist","12154","False","Yes"
"Jaber Al-Mubarak Al-Hamad Al-Sabah","2024-09-14","Kuwaiti royal","11504","False","Yes"
"Jean-Michel Dupuis","2024-09-14","French actor (''Little Marcel'', ''Dossier 51'', ''La Boum'')","6368","False","Yes"
"Kamel Ouejdide","2024-09-14","French-Moroccan footballer (Sète 34, Clermont, Boussu Dour Borinage)","4115","False","Yes"
"Brenda Fajardo","2024-09-14","Filipino artist and printmaker","2281","False","Yes"
"Toshen Bora","2024-09-14","Indian footballer (national team)","2172","False","Yes"
"Tito Jackson","2024-09-15","American Hall of Fame musician (The Jackson 5)","1067027","False","Yes"
"Geoffrey Hinsliff","2024-09-15","English actor (''Coronation Street'', ''Brass'', ''Doctor Who'')","46605","False","Yes"
"Roli Mosimann","2024-09-15","Swiss-born American musician (Swans) and record producer (''Mind Bomb'', ''Album of the Year'')","26341","False","Yes"
"Elias Khoury","2024-09-15","Lebanese novelist and public intellectual","22114","False","Yes"
"Kenny Hyslop","2024-09-15","Scottish drummer (Slik, Zones, Simple Minds)","21351","False","Yes"
"Sello Motloung","2024-09-15","South African actor (''Gangster's Paradise: Jerusalema'', ''Matatiele'', ''Blood Psalms'')","20522","False","Yes"
"Justin Yoder","2024-09-15","American soapbox racer","16447","False","Yes"
"Gheorghe Mulțescu","2024-09-15","Romanian football player (Jiul Petroșani, national team) and manager (Dinamo București)","12155","False","Yes"
"Malcolm Mitchell-Thomson, 3rd Baron Selsdon","2024-09-15","British peer","7135","False","Yes"
"David Davis","2024-09-15","American bluegrass musician","5217","False","Yes"
"Gary Shaw","2024-09-16","English footballer (Aston Villa, Kjøbenhavns Boldklub, Shrewsbury Town)","197666","False","Yes"
"Barbara Leigh-Hunt","2024-09-16","English actress (''Frenzy'', ''Henry VIII and His Six Wives'', ''Bequest to the Nation'')","57569","False","Yes"
"Song Binbin","2024-09-16","Chinese Red Guard leader","49510","True","No"
"Chris Serle","2024-09-16","British television presenter (''That's Life!'')","45458","False","Yes"
"Billy Edd Wheeler","2024-09-16","American singer and songwriter (""Jackson"" , ""It's Midnight"", ""Coward of the County"")","15536","False","Yes"
"Tyrone C. Fahner","2024-09-16","American lawyer and politician","12664","True","No"
"Norman Ackroyd","2024-09-16","English visual artist","9759","False","Yes"
"Peter Green","2024-09-16","British historian","7018","False","Yes"
"Robert Lansdorp","2024-09-16","American tennis coach","6362","False","Yes"
"Steve Hardwick","2024-09-16","English footballer (Oxford United, Huddersfield Town, Newcastle United)","6059","False","Yes"
"JD Souther","2024-09-17","American Hall of Fame singer-songwriter (""You're Only Lonely"", ""Her Town Too"", ""New Kid in Town"")","298261","False","Yes"
"Nelson DeMille","2024-09-17","American novelist (''The General's Daughter'', ''Plum Island'', ''The Charm School'')","58557","False","Yes"
"C. I. D. Sakunthala","2024-09-17","Indian actress (''Thavapudhalavan'', ''Agathiyar'', ''Idhaya Veenai'')","17568","True","No"
"Evin Agassi","2024-09-17","Iranian-born American Assyrian singer","16710","False","Yes"
"Jim Cullivan","2024-09-17","American football coach (Murray State Racers)","15222","False","Yes"
"Herman Chinery-Hesse","2024-09-17","Ghanaian software company executive","14591","False","Yes"
"Beppe Menegatti","2024-09-17","Italian theatre director","14116","False","Yes"
"Hitler Saavedra","2024-09-17","Peruvian surgeon and politician","13195","False","Yes"
"Beyene Petros","2024-09-17","Ethiopian politician","12049","False","Yes"
"Neil King Jr.","2024-09-17","American journalist and author","10254","True","No"
"Salvatore Schillaci","2024-09-18","Italian footballer (Juventus, Inter Milan, national team)","314787","False","Yes"
"Kesaria Abramidze","2024-09-18","Georgian model (Miss Trans Global) and influencer","40721","False","Yes"
"Sehat Sutardja","2024-09-18","Indonesian-born American technology industry executive","31017","False","Yes"
"Dick Diamonde","2024-09-18","Dutch-born Australian bassist (The Easybeats)","29893","False","Yes"
"Gerti Bogdani","2024-09-18","Albanian politician","29580","False","Yes"
"Tony Soper","2024-09-18","British ornithologist and television presenter (''Animal Magic'')","29475","False","Yes"
"Nick Gravenites","2024-09-18","American blues musician (The Electric Flag, Big Brother and the Holding Company) and record producer (""One Toke Over the Line"")","29186","False","Yes"
"Zulya Kamalova","2024-09-18","Russian-born Australian singer","11330","False","Yes"
"Tofazzal Hossain","2024-09-18","Bangladeshi student","9215","False","Yes"
"Sir Patrick Sergeant","2024-09-18","British journalist (''Daily Mail'')","8332","True","No"
"Eduardo Xol","2024-09-19","American television personality (''Extreme Makeover: Home Edition'')","115645","True","No"
"Bruno Sacco","2024-09-19","Italian-German automobile designer","52258","False","Yes"
"Victoria Roshchyna","2024-09-19","Ukrainian journalist","49195","False","Yes"
"Jay J. Armes","2024-09-19","American private investigator and politician","24057","False","Yes"
"Florence Warner","2024-09-19","American singer","17354","False","Yes"
"Kevin Mullins","2024-09-19","American judge","16571","False","Yes"
"Bimal Kar","2024-09-19","Bangladeshi footballer (Shadhin Bangla)","11276","False","Yes"
"Timmy Kwebulana","2024-09-19","South African actor","4553","False","Yes"
"Daniel McMahon","2024-09-19","American musician","4544","False","Yes"
"Tongsun Park","2024-09-19","South Korean lobbyist","4498","False","Yes"
"Sayuri","2024-09-20","Japanese singer-songwriter (""Sore wa Chiisana Hikari no Youna"", ""Furaregai Girl"", ""Parallel Line"")","280008","False","Yes"
"Kathryn Crosby","2024-09-20","American actress (''The 7th Voyage of Sinbad'', ''Anatomy of a Murder'', ''Operation Mad Ball'') and singer","170664","False","Yes"
"David Graham","2024-09-20","British actor (''Thunderbirds'', ''Doctor Who'', ''Peppa Pig'')","145575","False","Yes"
"Kaviyoor Ponnamma","2024-09-20","Indian actress (''Kalippattam'', ''Nandanam'', ''Kudumbasametham'')","133594","False","Yes"
"Freddie Eugene Owens","2024-09-20","American convicted murderer","131311","False","Yes"
"Cleo Sylvestre","2024-09-20","British actress (''Crossroads'', ''Paddington'', ''All Creatures Great and Small'')","88728","False","Yes"
"Daniel J. Evans","2024-09-20","American politician","37183","True","No"
"Randy West","2024-09-20","American pornographic actor","36193","False","Yes"
"Ibrahim Aqil","2024-09-20","Lebanese airforce leader (Redwan Force)","35213","False","Yes"
"Richard Dyer","2024-09-20","American music critic (''The Boston Globe'')","25261","False","Yes"
"Mercury Morris","2024-09-21","American football player (Miami Dolphins, San Diego Chargers)","178099","True","No"
"Benny Golson","2024-09-21","American jazz saxophonist and composer (""I Remember Clifford"", ""Stablemates"", ""Whisper Not"")","63590","True","No"
"Al McCoy","2024-09-21","American sportscaster (Phoenix Suns)","29828","True","No"
"M. M. Lawrence","2024-09-21","Indian politician","17338","True","No"
"Eddie Low","2024-09-21","New Zealand musician","9886","True","No"
"Rocky Moran","2024-09-21","American racing driver (IMSA, CART)","7498","False","Yes"
"Tom Spanbauer","2024-09-21","American author (''The Man Who Fell in Love with the Moon'')","5836","True","No"
"Ren Jianxin","2024-09-21","Chinese jurist and politician","5331","True","No"
"Dick Moss","2024-09-21","American labor lawyer","3526","True","No"
"Raquel Blandón","2024-09-21","Guatemalan politician and lawyer","3329","True","No"
"Fredric Jameson","2024-09-22","American philosopher (''Postmodernism, or, the Cultural Logic of Late Capitalism'', ''The Political Unconscious'')","101707","False","Yes"
"Peter Jay","2024-09-22","British journalist and diplomat","74925","True","No"
"Akkaphan Namart","2024-09-22","Thai actor (''Sapai Glai Peun Tiang'', ''Satja Nai Chum Joan'')","56086","True","No"
"Roy Clay","2024-09-22","American computer scientist","31113","True","No"
"Koos van der Merwe","2024-09-22","South African politician","19885","True","No"
"Hanif Kureshi","2024-09-22","Indian artist and designer","15402","False","Yes"
"Brian Huggett","2024-09-22","Welsh golfer","10584","True","No"
"W. Jayasiri","2024-09-22","Sri Lankan actor (''Seilama'', ''Visidela'', ''Sudu Kaluwara'')","6367","True","No"
"Hugh Prestwood","2024-09-22","American singer-songwriter","4898","True","No"
"José Grande","2024-09-22","Spanish racing cyclist","2526","False","Yes"
"Rupert Keegan","2024-09-23","English racing driver (Formula One, CART)","17442","True","No"
"Asım Pars","2024-09-23","Bosnian-Turkish basketball player (Galatasaray, KK Zagreb, Turkey national team)","14274","True","No"
"Tomris Giritlioğlu","2024-09-23","Turkish film director (''Mrs. Salkım's Diamonds'','' Pains of Autumn'') and producer","9296","True","No"
"Norbert Lohfink","2024-09-23","German Roman Catholic priest and theologian (Sankt Georgen Graduate School of Philosophy and Theology)","9100","True","No"
"Alan Vera","2024-09-23","Cuban-American Greco-Roman wrestler","8431","True","No"
"Vajira Chitrasena","2024-09-23","Sri Lankan choreographer","5466","True","No"
"Maxime Tandonnet","2024-09-23","French civil servant and writer","2989","True","No"
"A. D. Frazier","2024-09-23","American business executive","2676","True","No"
"Gary Reineke","2024-09-23","American-Canadian actor (''The Grey Fox'', ''Street Legal'', ''Iron Eagle II'')","2339","True","No"
"Robert Aymar","2024-09-23","French physicist","2312","True","No"
"Cat Glover","2024-09-24","American choreographer and musician (""Alphabet St."")","90029","True","No"
"Michael Sladek","2024-09-24","German doctor and environmental activist","22486","True","No"
"Amadou-Mahtar M'Bow","2024-09-24","Senegalese politician","9581","True","No"
"Francis Fox","2024-09-24","Canadian politician","8312","True","No"
"Julián Muñoz","2024-09-24","Spanish politician and convicted criminal (Operation Malaya)","8248","True","No"
"Pierre-William Glenn","2024-09-24","French cinematographer (''Day for Night'') and film director","4870","True","No"
"Tavana Salmon","2024-09-24","French Polynesian culture advocate","4394","True","No"
"Old Dry Keith","2024-09-24","British petroleum engineer and TikTok celebrity","2579","True","No"
"Ken Howard","2024-09-24","English songwriter","2309","True","No"
"Doug Bird","2024-09-24","American baseball player (Kansas City Royals, New York Yankees, Chicago Cubs)","1847","False","Yes"
"Haji Nurul Islam","2024-09-25","Indian politician","21418","True","No"
"Roman Madyanov","2024-09-25","Russian actor (''Hopelessly Lost'', ''Private Detective, or Operation Cooperation'', ''Leviathan'')","17052","True","No"
"John Warwick Montgomery","2024-09-25","American-British-French Christian apologist and theologian","9135","True","No"
"William Lucy","2024-09-25","American trade union leader","7336","True","No"
"Magunta Parvathamma","2024-09-25","Indian politician","4291","True","No"
"Suryakanta Vyas","2024-09-25","Indian politician","4058","True","No"
"Dick Caine","2024-09-25","Australian swimming coach and sex offender","3838","True","No"
"Sever Mureșan","2024-09-25","Romanian tennis player","3619","True","No"
"Edwin L. Pittman","2024-09-25","American jurist and politician","2980","False","Yes"
"Asim Khan","2024-09-25","Pakistani-born Dutch cricketer (VRA Amsterdam, Netherlands national team)","2949","True","No"
"John Ashton","2024-09-26","American actor (''Beverly Hills Cop'', ''Some Kind of Wonderful'', ''Midnight Run'')","370554","True","No"
"Alan Eugene Miller","2024-09-26","American spree killer","70632","True","No"
"Joe Wolf","2024-09-26","American basketball player (Los Angeles Clippers, Denver Nuggets) and coach (Milwaukee Bucks)","58189","True","No"
"Keki N. Daruwalla","2024-09-26","Indian poet and short story writer","10705","True","No"
"Richard Mayhew","2024-09-26","American painter","10505","True","No"
"Neelam Karwariya","2024-09-26","Indian politician","7995","True","No"
"Sören Börjesson","2024-09-26","Swedish football player (Örgryte IS, Djurgården) and manager (Örgryte IS)","4554","False","Yes"
"Iosif Khriplovich","2024-09-26","Russian theoretical physicist","1116","False","Yes"
"Jeffrey P. Victory","2024-09-26","American judge","1027","False","Yes"
"Alvin Pankhurst","2024-09-26","New Zealand artist","773","True","No"
"Dame Maggie Smith","2024-09-27","British actress (''The Prime of Miss Jean Brodie'', ''Harry Potter'', ''Downton Abbey'')","4304795","True","No"
"Hassan Nasrallah","2024-09-27","Lebanese Shia cleric and politician","2155024","True","No"
"2024 Hezbollah headquarters strike","2024-09-27",":","340555","True","No"
"Abbas Nilforoushan","2024-09-27","Iranian brigadier general[https://www","94695","False","Yes"
"Ali Karaki","2024-09-27","Lebanese militant","66625","True","No"
"Muriel Furrer","2024-09-27","Swiss road racing cyclist","59045","False","Yes"
"Fabián Caballero","2024-09-27","Argentine-Paraguayan football player (Dundee, Club Nacional) and manager (Sportivo Ameliano)","58125","True","No"
"Clive Everton","2024-09-27","British billiards and snooker player","39566","True","No"
"Pappammal","2024-09-27","Indian organic farmer","16328","False","Yes"
"Thomas Rockwell","2024-09-27","American author (''How to Eat Fried Worms'')","8546","True","No"
"Kris Kristofferson","2024-09-28","American Hall of Fame singer-songwriter (""Me and Bobby McGee"", ""Help Me Make It Through the Night"") and actor (''A Star Is Born'')","3365880","True","No"
"Drake Hogestyn","2024-09-28","American actor (''Days of Our Lives'', ''Seven Brides for Seven Brothers'')","485412","True","No"
"Nabil Qaouk","2024-09-28","Lebanese Shia cleric and politician","30356","True","No"
"Gladys McGarey","2024-09-28","American holistic physician and medical activist","19339","True","No"
"Barry Lloyd","2024-09-28","English footballer (Fulham, Chelsea) and manager (Yeovil Town)","17659","True","No"
"Winfield Dunn","2024-09-28","American politician","15397","True","No"
"Kumara Welgama","2024-09-28","Sri Lankan politician","8933","True","No"
"Alexandre do Nascimento","2024-09-28","Angolan Roman Catholic cardinal","6557","True","No"
"Glauco Mauri","2024-09-28","Italian actor (''China Is Near'', ''Deep Red'', ''Ecce Bombo'') and theatre director","4565","True","No"
"Bengt Frithiofsson","2024-09-28","Swedish wine writer (''Svenska Dagbladet'', ''Nyhetsmorgon'')","3068","True","No"
"Ron Ely","2024-09-29","American actor (''Tarzan'', ''Doc Savage: The Man of Bronze'', ''The Aquanauts'')","237537","True","No"
"Martin Lee","2024-09-29","English singer (Brotherhood of Man) and songwriter (""Save Your Kisses for Me"", ""Angelo"")","73312","True","No"
"Richard S. Hamilton","2024-09-29","American mathematician (Ricci flow, Earle–Hamilton fixed-point theorem)","52394","True","No"
"Ozzie Virgil Sr.","2024-09-29","Dominican baseball player (New York Giants, Detroit Tigers, Pittsburgh Pirates)","41003","True","No"
"Nobuyo Ōyama","2024-09-29","Japanese voice actress (''Doraemon'', ''Danganronpa'')","32346","True","No"
"Andrea Capone","2024-09-29","Italian footballer (Cagliari, Vicenza, Treviso)","25475","True","No"
"Stoika Milanova","2024-09-29","Bulgarian violinist (1970 Carl Flesch International Violin Competition) and academic (National Academy of Music)","23679","True","No"
"Fatah Sharif","2024-09-29","Palestinian militant (Hamas) and UNRWA officer","23330","True","No"
"Rohan de Saram","2024-09-29","British-born Sri Lankan cellist (Arditti Quartet)","20564","True","No"
"Alton Meiring","2024-09-29","South African footballer (Cape Town Spurs, Manning Rangers, national team)","9829","True","No"
"Pete Rose","2024-09-30","American baseball player (Cincinnati Reds, Philadelphia Phillies, Montreal Expos) and manager","1438809","True","No"
"Dikembe Mutombo","2024-09-30","Congolese-American Hall of Fame basketball player (Denver Nuggets, Houston Rockets, Atlanta Hawks)","1187411","True","No"
"Gavin Creel","2024-09-30","American actor (''Thoroughly Modern Millie'', ''The Book of Mormon'', ''Hello, Dolly!'')","837520","True","No"
"Ken Page","2024-09-30","American actor (''Ain't Misbehavin''', ''Cats'', ''The Nightmare Before Christmas'')","231499","True","No"
"IMDb","2024-09-30","","137153","True","No"
"Park Ji-ah","2024-09-30","South Korean actress (''Breath'', ''Epitaph'', ''Masquerade'')","50998","True","No"
"Humberto Ortega","2024-09-30","Nicaraguan revolutionary leader and military officer","37774","True","No"
