"name","death_date","description","pageviews","llm_knows_death","llm_response"
"Matej Marin","2021-09-05","Slovenian racing cyclist","6696","True","No"
"Jonah Lwanga","2021-09-05","Ugandan Orthodox prelate","5786","True","No"
"Carmen Balthrop","2021-09-05","American operatic soprano","3828","True","No"
"Michael K. Williams","2021-09-06","American actor (''The Wire'', ''Boardwalk Empire'', ''12 Years a Slave'')","3276276","True","No"
"Jean-Paul Belmondo","2021-09-06","French actor (''Breathless'', ''That Man from Rio'', ''Pierrot le Fou'')","628900","True","No"
"Jean-Pierre Adams","2021-09-06","French footballer (Nîmes, Nice, national team)","430931","True","No"
"Anthony Johnson","2021-09-06","American actor (''House Party'', ''Friday'', ''Menace II Society'') and comedian","411882","True","No"
"Adlai Stevenson III","2021-09-06","American politician","62977","True","No"
"Sunil Perera","2021-09-06","Sri Lankan vocalist (The Gypsies)","54492","True","No"
"Zanele kaMagwaza-Msibi","2021-09-06","South African politician","31726","True","No"
"Nino Castelnuovo","2021-09-06","Italian actor (''Rocco and His Brothers'', ''The Umbrellas of Cherbourg'', ''The Five Man Army'')","17363","True","No"
"Yolanda Fernández de Cofiño","2021-09-06","Guatemalan businesswoman and philanthropist","17105","True","No"
"Jennifer Fiori","2021-09-06","Italian racing cyclist","14134","False","Yes"
"Sam Cunningham","2021-09-07","American football player (New England Patriots)","63990","True","No"
"Amanda Holden","2021-09-07","British musician","39302","False","Yes"
"Phil Schaap","2021-09-07","American disc jockey and jazz historian","27896","True","No"
"Carl Bean","2021-09-07","American Protestant church leader","17893","True","No"
"Bill White","2021-09-07","American professional wrestler (WWE, GCW, JCP)","10338","True","No"
"Terry Brennan","2021-09-07","American college football player and coach (Notre Dame)","9264","True","No"
"Warren Storm","2021-09-07","American swamp pop singer and drummer","8227","True","No"
"Eiichi Yamamoto","2021-09-07","Japanese film director (''Belladonna of Sadness'', ''Little Wansa'') and screenwriter (''Space Battleship Yamato'')","6478","True","No"
"Edward Barnes","2021-09-07","British television executive and producer","6125","True","No"
"Rick Arrington","2021-09-07","American football player (Philadelphia Eagles)","5926","True","No"
"Art Metrano","2021-09-08","American actor (''Police Academy'', ''They Shoot Horses, Don't They?'', ''Joanie Loves Chachi'') and comedian","119188","True","No"
"Neddy Smith","2021-09-08","Australian serial criminal","51920","True","No"
"Big Daddy Graham","2021-09-08","American radio presenter (WIP-FM) and comedian","47180","True","No"
"Yevgeny Zinichev","2021-09-08","Russian politician and military and intelligence officer","40753","True","No"
"Matthew Strachan","2021-09-08","English composer (''Who Wants to Be a Millionaire?'') and singer-songwriter (''Next Door's Baby'')","30101","True","No"
"Pulamaipithan","2021-09-08","Indian lyricist (''Kudiyirundha Koyil'', ''Neengal Kettavai'', ''Manjal Nila'')","24693","True","No"
"Uno Loop","2021-09-08","Estonian singer and musician","20264","True","No"
"Luis Villafuerte","2021-09-08","Filipino politician","10425","True","No"
"Derek Bailey","2021-09-08","American tribal leader and convicted sex offender","9615","True","No"
"Aleksandr Melnik","2021-09-08","Russian film director (''Terra Nova'', ''Territory'') and screenwriter","7844","True","No"
"Richard McGeagh","2021-09-09","American water polo player and Olympic swimmer (1964)","24534","True","No"
"Marianne Battani","2021-09-09","American jurist","16327","True","No"
"Sir Timothy Colman","2021-09-09","British businessman","13160","True","No"
"Rahimullah Yusufzai","2021-09-09","Pakistani journalist (''Time'', BBC)","11388","True","No"
"Wiesław Gołas","2021-09-09","Polish actor (''Dzięcioł'', ''Czterdziestolatek'', ''The Deluge'')","10741","True","No"
"Danilo Popivoda","2021-09-09","Slovenian football player (Olimpija, Eintracht Braunschweig, Yugoslavia national team) and manager","6663","True","No"
"Harold Franklin","2021-09-09","American lecturer","3695","True","No"
"Urbain Braems","2021-09-09","Belgian football player (Club Brugge) and manager (Anderlecht, Trabzonspor)","2897","True","No"
"Jean-Claude van Itallie","2021-09-09","Belgian-born American playwright (''America Hurrah'')","2588","True","No"
"Bruce McFee","2021-09-09","Scottish politician","2573","True","No"
"Jorge Sampaio","2021-09-10","Portuguese lawyer and politician","47890","True","No"
"Michael Chapman","2021-09-10","English singer-songwriter and guitarist (''True North'')","43298","True","No"
"Gene Littles","2021-09-10","American basketball player (Carolina Cougars) and coach (Cleveland Cavaliers, Charlotte Hornets)","17992","True","No"
"Ben Best","2021-09-10","American screenwriter (''Eastbound & Down'') and actor (''Superbad'', ''Land of the Lost'')","17598","True","No"
"Dalal bint Saud Al Saud","2021-09-10","Saudi royal and philanthropist","14782","True","No"
"Bulaimu Muwanga Kibirige","2021-09-10","Ugandan hotel executive","13752","True","No"
"Denys Barvinko","2021-09-10","Ukrainian footballer (Metalist Kharkiv)","10590","True","No"
"Saadi Yacef","2021-09-10","Algerian independence fighter and actor (''The Battle of Algiers'')","10049","True","No"
"Nadir Shah","2021-09-10","Bangladeshi cricket umpire","5591","True","No"
"Mike Boyle","2021-09-10","American politician","5481","True","No"
"Abimael Guzmán","2021-09-11","Peruvian Maoist leader and convicted terrorist","95866","True","No"
"Mick Tingelhoff","2021-09-11","American Hall of Fame football player (Minnesota Vikings)","24319","True","No"
"María Mendiola","2021-09-11","Spanish singer (Baccara)","9323","True","No"
"Tommy Hazouri","2021-09-11","American politician","7552","True","No"
"Phùng Quang Thanh","2021-09-11","Vietnamese military officer and politician","7012","True","No"
"Radmilo Pavlović","2021-09-11","Serbian footballer","6055","True","No"
"Gloria Warren","2021-09-11","American actress (''Dangerous Money'', ''Cinderella Swings It'', ''Bells of San Fernando'') and singer","4363","True","No"
"Aziz Hajini","2021-09-11","Indian poet and writer","3647","True","No"
"Simon Shnoll","2021-09-11","Russian biophysicist and science historian","2706","True","No"
"Nicolás Villamil","2021-09-11","Argentine footballer (Racing Club, Fernández Vial, Concepción)","2427","True","No"
"Bob Enyart","2021-09-12","American talk radio host and pastor","78531","True","No"
"John Shelby Spong","2021-09-12","American Episcopal prelate","41865","True","No"
"Fran Bennett","2021-09-12","American actress (''Nightingales'', ''Sunset Beach'', ''Wes Craven's New Nightmare)''","19768","True","No"
"Fabio Taborre","2021-09-12","Italian road racing cyclist","8875","True","No"
"Nicolás Naranjo","2021-09-12","Argentine road racing cyclist","6226","True","No"
"Sondra James","2021-09-12","American sound designer (''Sex and the City'', ''Royal Pains'') and actress (''Joker'')","5376","True","No"
"Russ Kick","2021-09-12","American writer","4337","True","No"
"Jack D. Dunitz","2021-09-12","Scottish chemist","4034","True","No"
"Carlo Chendi","2021-09-12","Italian cartoonist","3110","True","No"
"Wendell Wise Mayes Jr.","2021-09-12","American radio and cable television executive","2749","True","No"
"Charlotte Johnson Wahl","2021-09-13","British painter","147476","True","No"
"Rizabawa","2021-09-13","Indian actor (''In Harihar Nagar'', ''Vakkeel Vasudev'', ''Malappuram Haji Mahanaya Joji'')","96370","True","No"
"Parys Haralson","2021-09-13","American football player (Tennessee Volunteers, San Francisco 49ers, New Orleans Saints)","75782","True","No"
"Oscar Fernandes","2021-09-13","Indian politician","55016","True","No"
"Don Collier","2021-09-13","American actor (''Outlaws'', ''The High Chaparral'', ''The Young Riders'')","47329","False","Yes"
"George Wein","2021-09-13","American festival promoter and jazz pianist","33507","True","No"
"Antony Hewish","2021-09-13","British radio astronomer","25735","True","No"
"Ruly Carpenter","2021-09-13","American baseball executive","25677","True","No"
"Fred Stanfield","2021-09-13","Canadian ice hockey player (Chicago Blackhawks, Boston Bruins, Buffalo Sabres)","25126","True","No"
"Borisav Jović","2021-09-13","Serbian politician","10763","True","No"
"Norm Macdonald","2021-09-14","Canadian comedian","4358442","True","No"
"David Yonggi Cho","2021-09-14","South Korean Christian minister and convicted embezzler","124860","True","No"
"Caressing","2021-09-14","American racehorse and broodmare","23952","True","No"
"Ida Nudel","2021-09-14","Russian-Israeli civil rights activist","16108","True","No"
"Yuriy Sedykh","2021-09-14","Ukrainian hammer thrower","14627","True","No"
"Reuben Klamer","2021-09-14","American board game inventor (''The Game of Life'')","11891","True","No"
"Lung Shao-hua","2021-09-14","Taiwanese actor (''10,000 Miles'', ''March of Happiness'') and television host (''Guess'')","10648","True","No"
"Dave Jenks","2021-09-14","American author and real estate mogul","4767","True","No"
"Ladislav Lubina","2021-09-14","Czech ice hockey player (HC Pardubice, HC Dukla Jihlava, HC Oceláři Třinec)","3512","True","No"
"Rob Duhamel","2021-09-14","Jersey politician","3476","True","No"
"Robert Fyfe","2021-09-15","Scottish actor (''Last of the Summer Wine'', ''Around the World in 80 Days'', ''Cloud Atlas'')","68304","True","No"
"Gavan O'Herlihy","2021-09-15","Irish-born American actor (''Never Say Never Again'', ''Willow'', ''Happy Days'')","49355","True","No"
"Satoshi Hirayama","2021-09-15","American baseball player (Hiroshima Carp)","29916","True","No"
"Norman Bailey","2021-09-15","British-born American opera singer","19474","True","No"
"Lou Angotti","2021-09-15","Canadian ice hockey player (Chicago Blackhawks, New York Rangers, St. Louis Blues) and coach","17031","True","No"
"Žana Lelas","2021-09-15","Croatian basketball player","8800","True","No"
"Leta Powell Drake","2021-09-15","American broadcaster and television executive (KOLN)","7118","True","No"
"Marthe Mercadier","2021-09-15","French actress (''Three Telegrams'', ''The Night Is My Kingdom'', ''Rendezvous in Grenada'')","6365","True","No"
"Dany Toussaint","2021-09-15","Haitian military officer and politician","6125","True","No"
"Ephraim Einhorn","2021-09-15","Austrian-born British Orthodox rabbi","6046","True","No"
"Jane Powell","2021-09-16","American actress (''A Date with Judy'', ''Seven Brides for Seven Brothers'', ''Royal Wedding'')","264370","True","No"
"Sir Clive Sinclair","2021-09-16","English entrepreneur and inventor","199181","True","No"
"Dušan Ivković","2021-09-16","Serbian Hall of Fame basketball player and coach (Partizan, Olympiacos, Yugoslavia national team)","69179","True","No"
"Casimir Oyé-Mba","2021-09-16","Gabonese politician","18509","True","No"
"George Mraz","2021-09-16","Czech-born American jazz musician (Quest, New York Jazz Quartet, The Thad Jones/Mel Lewis Orchestra)","17048","True","No"
"Hlengiwe Mkhize","2021-09-16","South African politician","12736","True","No"
"Steve Riley","2021-09-16","American football player (Minnesota Vikings)","8476","True","No"
"John Ruggie","2021-09-16","American political scientist","7787","True","No"
"Boet van Dulmen","2021-09-16","Dutch motorcycle road racer","6639","True","No"
"Graciete Santana","2021-09-16","Brazilian Olympic long-distance runner (2016)","5634","True","No"
"Abdelaziz Bouteflika","2021-09-17","Algerian politician","124977","True","No"
"Thanu Padmanabhan","2021-09-17","Indian theoretical physicist","50239","True","No"
"Tim Donnelly","2021-09-17","American actor (''Emergency!'', ''The Secret of Santa Vittoria'', ''The Toolbox Murders'')","19896","True","No"
"Roger Brown","2021-09-17","American Hall of Fame football player (Maryland State Hawks, Detroit Lions, Los Angeles Rams)","16208","True","No"
"Minja Subota","2021-09-17","Serbian television host","15911","True","No"
"Albert Linder","2021-09-17","Kazakhstani weightlifter","15076","True","No"
"Avril Elgar","2021-09-17","English actress (''Spring and Port Wine'', ''The Medusa Touch'', ''George and Mildred'')","10457","True","No"
"Basil Hoffman","2021-09-17","American actor (''The Artist'', ''Hill Street Blues'', ''Santa Barbara'')","9096","True","No"
"Russ Dallen","2021-09-17","American economist","6154","True","No"
"Tony Scott","2021-09-17","English footballer (West Ham United, Aston Villa, Torquay United)","4590","True","No"
"Jolidee Matongo","2021-09-18","South African politician","53003","True","No"
"Chris Anker Sørensen","2021-09-18","Danish road racing cyclist","42280","True","No"
"Ali Kalora","2021-09-18","Indonesian Islamic militant","27497","True","No"
"Mario Camus","2021-09-18","Spanish film director and screenwriter (''La colmena'', ''The Holy Innocents'', ''The House of Bernarda Alba'')","6959","True","No"
"Albert J. Raboteau","2021-09-18","American religion scholar","4558","True","No"
"Julos Beaucarne","2021-09-18","Belgian singer","3383","True","No"
"Anto Finnegan","2021-09-18","Northern Irish Gaelic footballer (Antrim)","2806","True","No"
"Neil McCarthy","2021-09-18","American college basketball coach (Weber State Wildcats, New Mexico State Aggies)","2426","True","No"
"Anna Chromý","2021-09-18","Czech painter and sculptor","2172","True","No"
"Mick McGinty","2021-09-18","American artist (''Street Fighter II'')","2111","True","No"
"Jimmy Greaves","2021-09-19","English Hall of Fame footballer (Chelsea, Tottenham Hotspur, national team)","755669","True","No"
"John Challis","2021-09-19","English actor (''Only Fools and Horses'', ''The Green Green Grass'', ''Benidorm'') and comedian","383225","True","No"
"Richard Buckley","2021-09-19","American journalist and writer","123507","True","No"
"Gabby Petito","2021-09-19","American vandweller","65633","True","No"
"Marina Tucaković","2021-09-19","Serbian lyricist (""Ovo je Balkan"", ""Nije ljubav stvar"", ""Ljubav je svuda"")","50986","True","No"
"Stephen Critchlow","2021-09-19","British actor (''The Infinite Worlds of H. G. Wells'', ''Kenneth Williams: Fantabulosa!'', ''Star Wars: The Old Republic'')","46279","True","No"
"Dinky Soliman","2021-09-19","Filipino politician","28981","True","No"
"Sylvano Bussotti","2021-09-19","Italian composer","24839","True","No"
"Liam Walsh","2021-09-19","English rugby league player (Widnes Vikings)","20927","True","No"
"Obadiah Mailafia","2021-09-19","Nigerian economist and politician","12835","True","No"
"Sarah Dash","2021-09-20","American singer (Labelle)","87450","True","No"
"Helmut Oberlander","2021-09-20","Ukrainian-born Canadian World War II soldier","49601","True","No"
"Charles W. Mills","2021-09-20","Jamaican philosopher","48646","True","No"
"Angelo Codevilla","2021-09-20","Italian-born American international relations scholar","22130","True","No"
"Yudhvir Singh Judev","2021-09-20","Indian politician","10891","True","No"
"Ken Worden","2021-09-20","English football player (Hobart Juventus) and manager (F.A. Selangor, Malaysia national team)","9748","True","No"
"Sherwood Boehlert","2021-09-20","American politician","6484","True","No"
"Cloyd Boyer","2021-09-20","American baseball player (St. Louis Cardinals)","6027","True","No"
"Billy Maxwell","2021-09-20","American golfer (PGA Tour, Champions Tour)","5983","True","No"
"Mat Noh","2021-09-20","Singaporean footballer (national team)","4551","True","No"
"Willie Garson","2021-09-21","American actor (''Sex and the City'', ''White Collar'', ''John from Cincinnati'')","1646480","True","No"
"Melvin Van Peebles","2021-09-21","American film director","207299","True","No"
"Richard H. Kirk","2021-09-21","English electronic musician (Cabaret Voltaire, Sweet Exorcist) and songwriter (""Yashar"")","61423","True","No"
"Al Harrington","2021-09-21","Samoan-American actor (''Hawaii Five-O'')","41439","True","No"
"Mohamed Hussein Tantawi","2021-09-21","Egyptian field marshal and politician","28480","True","No"
"Joan Howard Maurer","2021-09-21","American writer and actress (''Swing Your Lady'', ''Love in a Bungalow'')","22663","True","No"
"Peter Palmer","2021-09-21","American actor (''Li'l Abner'', ''Custer'')","22126","True","No"
"Marcia Freedman","2021-09-21","American-Israeli peace activist","17856","True","No"
"La Prieta Linda","2021-09-21","Mexican singer and actress (''Valente Quintero'')","8640","True","No"
"Rumi Kazama","2021-09-21","Japanese professional wrestler (DDT, JWP)","5311","True","No"
"Roger Michell","2021-09-22","South African-born British film director (''Notting Hill'', ''Venus'', ''My Cousin Rachel'')","113718","True","No"
"Eliyantha White","2021-09-22","Sri Lankan spiritual healer","28136","True","No"
"Jay Sandrich","2021-09-22","American Hall of Fame television director (''The Mary Tyler Moore Show'', ''The Cosby Show'', ''Soap'')","15868","True","No"
"Abdelkader Bensalah","2021-09-22","Algerian politician","12374","True","No"
"Eric Alfasi","2021-09-22","Israeli basketball player (Maccabi Netanya) and coach (Maccabi Ashdod, Hapoel Eilat)","7568","True","No"
"Jüri Tamm","2021-09-22","Estonian politician and hammer thrower","5057","True","No"
"Axel Gehrke","2021-09-22","German politician","4155","True","No"
"Ulf Nilsson","2021-09-22","Swedish children's author","3787","True","No"
"Colin Jones","2021-09-22","English photographer and ballet dancer","3385","True","No"
"Orlando Martínez","2021-09-22","Cuban boxer","3102","True","No"
"John Elliott","2021-09-23","Australian businessman","54152","True","No"
"Roberto Roena","2021-09-23","Puerto Rican salsa percussionist","25671","True","No"
"Charles Grier Sellers","2021-09-23","American historian","20432","True","No"
"Pee Wee Ellis","2021-09-23","American saxophonist","18480","True","No"
"Sue Thompson","2021-09-23","American pop and country singer (""Sad Movies (Make Me Cry)"", ""Norman"")","15538","True","No"
"Bruce Fleisher","2021-09-23","American golfer (PGA Tour, Champions Tour)","15401","True","No"
"David H. DePatie","2021-09-23","American film and television producer (''The Pink Panther'')","9188","True","No"
"Billa O'Connell","2021-09-23","Irish pantomimer","7920","True","No"
"Nino Vaccarella","2021-09-23","Italian racecar driver","7482","True","No"
"Taito Phillip Field","2021-09-23","Samoan-born New Zealand politician","7018","True","No"
"Freddie Fu","2021-09-24","Hong Kong-American orthopaedic surgeon","65394","True","No"
"Waka Nathan","2021-09-24","New Zealand rugby union player (Auckland, national team)","35821","True","No"
"Emmanuel Agassi","2021-09-24","Iranian-American Olympic boxer (representing Iran 1948, 1952)","30170","True","No"
"Grey Gowrie","2021-09-24","British politician","26697","True","No"
"Jitender Mann Gogi","2021-09-24","Indian mobster","25358","True","No"
"Takao Saito","2021-09-24","Japanese manga artist (''Golgo 13'')","22725","True","No"
"Ishfaq Nadeem Ahmad","2021-09-24","Pakistani military officer","15430","True","No"
"Diana Natalicio","2021-09-24","American academic administrator","11561","True","No"
"Cornelia Clark","2021-09-24","American jurist","5477","True","No"
"Robert Altman","2021-09-24","American photographer","3411","True","No"
"Dean Berta Viñales","2021-09-25","Spanish motorcycle racer","64932","True","No"
"Kamla Bhasin","2021-09-25","Indian feminist activist","55667","True","No"
"Théoneste Bagosora","2021-09-25","Rwandan military officer and convicted war criminal","31247","True","No"
"Len Ashurst","2021-09-25","English football player (Sunderland, Hartlepool United) and manager (Cardiff City)","25926","True","No"
"Walter Scott Jr.","2021-09-25","American civil engineer","14725","True","No"
"Marie Wilcox","2021-09-25","American lexicographer","12263","True","No"
"Hassan Hassanzadeh Amoli","2021-09-25","Iranian Islamic scholar","9771","True","No"
"Swapan Kumar Chakravorty","2021-09-25","Indian academic","7634","True","No"
"Patricio Manns","2021-09-25","Chilean singer","7024","True","No"
"Terry K. Amthor","2021-09-25","American game designer (''Dungeons & Dragons'')","2700","True","No"
"Alan Lancaster","2021-09-26","English rock bassist (Status Quo, The Party Boys)","106572","True","No"
"Bobby Zarem","2021-09-26","American publicist (Dustin Hoffman, Cher, Arnold Schwarzenegger)","9849","True","No"
"Frances Farenthold","2021-09-26","American politician","9437","True","No"
"Kjersti Holmen","2021-09-26","Norwegian actress (''Orion's Belt'', ''Rød snø'', ''The Telegraphist'')","9119","True","No"
"Mark Strudwick","2021-09-26","British military officer","3458","True","No"
"Syarhey Herasimets","2021-09-26","Belarusian football player (Dinamo Minsk, national team) and manager (Junior Sevan)","3346","True","No"
"José Freire Falcão","2021-09-26","Brazilian Roman Catholic cardinal","3017","True","No"
"Herzl Shafir","2021-09-26","Israeli general","2524","True","No"
"Paddy Prendergast","2021-09-26","Irish Gaelic footballer (Mayo GAA)","2302","False","Yes"
"Eliécer Cárdenas","2021-09-26","Ecuadorian novelist","1941","True","No"
"Roger Hunt","2021-09-27","English Hall of Fame footballer (Liverpool, Bolton Wanderers, national team)","222702","True","No"
"Andrea Martin","2021-09-27","American singer-songwriter (""I Love Me Some Him"", ""Before You Walk Out of My Life"", ""Don't Let Go"")","89278","True","No"
"R. R. Venkat","2021-09-27","Indian film producer (''Divorce Invitation'', ''Lovely'', ''Damarukam'')","11416","True","No"
"Ibrahim Mbombo Njoya","2021-09-27","Cameroonian politician and royal","5740","True","No"
"Gordon Hudson","2021-09-27","American football player (BYU Cougars, Los Angeles Express, Seattle Seahawks)","5397","True","No"
"Martin Burleigh","2021-09-27","English footballer (Darlington, Carlisle United, Hartlepool United)","4558","True","No"
"David Komansky","2021-09-27","American investment management executive","4473","True","No"
"Boban Petrović","2021-09-27","Serbian basketball player (Partizan, Yugoslavia national team)","2802","True","No"
"Cecilia Lindqvist","2021-09-27","Swedish sinologist","2424","True","No"
"François Florent","2021-09-27","French theatre actor","1612","True","No"
"Tommy Kirk","2021-09-28","American actor (''Old Yeller'', ''The Shaggy Dog'', ''Swiss Family Robinson'')","250456","True","No"
"Michael Tylo","2021-09-28","American actor (''The Young and the Restless'', ''Zorro'', ''Guiding Light'')","100918","True","No"
"Phi Nhung","2021-09-28","Vietnamese-American singer and actress","92934","True","No"
"Barry Ryan","2021-09-28","British pop singer (""Eloise"") and photographer","46488","True","No"
"Karan Armstrong","2021-09-28","American operatic soprano","35028","True","No"
"Nana Ampadu","2021-09-28","Ghanaian musician","23851","True","No"
"Bienvenido Lumbera","2021-09-28","Filipino poet","23371","True","No"
"Princess Lalla Malika of Morocco","2021-09-28","Moroccan royal","11889","True","No"
"Mike Renzi","2021-09-28","American composer and music director (''Sesame Street'')","10108","True","No"
"Moshe David Tendler","2021-09-28","American rabbi and biologist","9547","True","No"
"François Vérove","2021-09-29","French serial killer (Murder of Cécile Bloch) and police officer","41618","True","No"
"Ravil Isyanov","2021-09-29","Russian-born American actor (''GoldenEye'', ''K-19: The Widowmaker'', ''Transformers: Dark of the Moon'')","40189","True","No"
"Hayko","2021-09-29","Armenian singer (""Anytime You Need"") and songwriter","38586","True","No"
"Sabam Sirait","2021-09-29","Indonesian politician","18099","True","No"
"Ivan Tasovac","2021-09-29","Serbian pianist","14264","True","No"
"Olivier Libaux","2021-09-29","French record producer and musician (Nouvelle Vague)","7755","True","No"
"Antonio Gasset","2021-09-29","Spanish journalist and television host (''Días de cine'')","5691","True","No"
"Angelo Vasta","2021-09-29","Australian judge","4362","True","No"
"Heiko Salzwedel","2021-09-29","German racing cyclist and manager","4044","True","No"
"Alexandre José Maria dos Santos","2021-09-29","Mozambican Roman Catholic cardinal","3867","True","No"
"IMDb","2021-09-30","","483663","False","Yes"
"Koichi Sugiyama","2021-09-30","Japanese composer","79918","True","No"
"Carlisle Floyd","2021-09-30","American opera composer","24717","True","No"
"John Rigas","2021-09-30","American cable television executive and convicted fraudster","14413","True","No"
"Greg Gilbert","2021-09-30","British musician (Delays)","7812","True","No"
"Palmer Pyle","2021-09-30","American football player (Baltimore Colts, Minnesota Vikings, Oakland Raiders)","5300","True","No"
"Philip Owen","2021-09-30","Canadian politician","5210","True","No"
"Clement Chiwaya","2021-09-30","Malawian politician","4928","True","No"
"Lennart Åberg","2021-09-30","Swedish jazz saxophonist and composer","2592","True","No"
"Vladislav Lemish","2021-09-30","Azerbaijani footballer (Kuban Krasnodar, CSKA Moscow, national team)","2085","True","No"
"Frank LoCascio","2021-10-01","American mobster (Gambino crime family)","14698","True","No"
"Lissy Jarvik","2021-10-01","Dutch-born American psychiatrist","14686","False","Yes"
"Paul Linger","2021-10-01","English footballer (Charlton Athletic, Brighton & Hove Albion)","13632","True","No"
"Eberhard Panitz","2021-10-01","German writer","12415","True","No"
"Andrea Schroeder","2021-10-01","American politician","8695","True","No"
"Fred Hill","2021-10-01","English footballer (Bolton Wanderers, national team)","7604","True","No"
"Oğuzhan Asiltürk","2021-10-01","Turkish politician","4403","True","No"
"Ewert Ljusberg","2021-10-01","Swedish musician","3396","True","No"
"Sir Dennis Walters","2021-10-01","British politician","3231","True","No"
"Zhang Xudong","2021-10-01","Chinese military officer","2713","True","No"
"Umer Shareef","2021-10-02","Pakistani comedian and television host (''The Shareef Show Mubarak Ho'')","227790","True","No"
"John Wes Townley","2021-10-02","American racing driver (NASCAR Camping World Truck Series)","85353","True","No"
"Matt Holmes","2021-10-02","British military officer","21766","True","No"
"Anthony Downs","2021-10-02","American economist and politologist (''An Economic Theory of Democracy'')","21536","True","No"
"Major Wingate","2021-10-02","American basketball player (Springfield Armor, Shanxi Zhongyu, Tofas Bursa)","19234","True","No"
