"name","death_date","description","pageviews","llm_knows_death","llm_response"
"Phyllis George","2020-05-14","American sportscaster (''The NFL Today'')","613389","True","No"
"Don Shula","2020-05-04","American Hall of Fame football player (Cleveland Browns, Baltimore Colts) and coach (Miami Dolphins)","578601","True","No"
"Ken Osmond","2020-05-18","American actor (''Leave It to Beaver'', ''The New Leave It to Beaver'') and police officer (Los Angeles Police Department)","559792","True","No"
"Jerry Sloan","2020-05-22","American basketball player (Chicago Bulls) and Hall of Fame coach (Utah Jazz)","533616","True","No"
"Andre Harrell","2020-05-07","American record producer","523051","True","No"
"Sushant Singh Rajput","2020-06-14","Indian actor (''M.S. Dhoni: The Untold Story'', ''Chhichhore'', ''Detective Byomkesh Bakshy!'')","15894919","True","No"
"Chiranjeevi Sarja","2020-06-07","Indian actor (''Vayuputra'', ''Varadhanayaka'', ''Aatagara'')","2047285","True","No"
"Carl Reiner","2020-06-29","American actor","1342630","True","No"
"Sir Ian Holm","2020-06-19","English actor (''Alien'', ''Chariots of Fire'', ''The Lord of the Rings'')","1110899","True","No"
"Dame Vera Lynn","2020-06-18","British singer (""We'll Meet Again"", ""The White Cliffs of Dover"")","894296","True","No"
"Steve Bing","2020-06-22","American entertainment executive (Shangri-La Entertainment)","739947","True","No"
"Joel Schumacher","2020-06-22","American film director (''The Lost Boys'', ''Falling Down'', ''Batman Forever'')","523862","True","No"
"Naya Rivera","2020-07-08","American actress (''Glee'', ''The Royal Family'', ''Step Up'')","8697902","True","No"
"Kelly Preston","2020-07-12","American actress (''Jerry Maguire'', ''Twins'', ''Sky High'')","4540883","True","No"
"Regis Philbin","2020-07-24","American entertainer and television personality (''The Joey Bishop Show'', ''Live with Regis and Kathie Lee'', ''Who Wants to Be a Millionaire'')","2739686","True","No"
"Grant Imahara","2020-07-13","American electrical engineer (''Star Wars'', ''The Matrix'') and television personality (''MythBusters'')","2308759","True","No"
"Dame Olivia de Havilland","2020-07-26","French-British-American actress (''Gone with the Wind'', ''The Adventures of Robin Hood'', ''To Each His Own'')","1776354","True","No"
"Nick Cordero","2020-07-05","Canadian actor and singer (''Bullets Over Broadway'', ''A Bronx Tale'', ''Waitress'')","1759681","True","No"
"Herman Cain","2020-07-30","American food executive (Godfather's Pizza, Pillsbury Company) and politician","1734182","True","No"
"Haruma Miura","2020-07-18","Japanese actor (''Koizora'', ''Kimi ni Todoke'', ''Attack on Titan'') and singer","1287657","True","No"
"Mary Kay Letourneau","2020-07-06","American teacher and convicted rapist","1278739","True","No"
"Saroj Khan","2020-07-03","Indian choreographer (''Mr. India'', ''Nagina'', ''Chandni'')","1162762","True","No"
"Reckful","2020-07-02","Israeli-American Twitch streamer","1140703","True","No"
"Charlie Daniels","2020-07-06","American Hall of Fame country singer-songwriter and musician (""The Devil Went Down to Georgia"", ""Uneasy Rider"")","1070412","True","No"
"Vikas Dubey","2020-07-10","Indian gangster and convicted murderer","928161","True","No"
"Ennio Morricone","2020-07-06","Italian film composer (''The Good, the Bad and the Ugly'', ''Once Upon a Time in the West'', ''The Hateful Eight'')","892364","True","No"
"Jack Charlton","2020-07-10","English football player (Leeds United, national team) and manager (Republic of Ireland national team)","879945","True","No"
"Peter Green","2020-07-25","English Hall of Fame blues rock singer-songwriter (""Black Magic Woman"") and guitarist (Fleetwood Mac, Peter Green Splinter Group)","697599","True","No"
"John Saxon","2020-07-25","American actor (''A Nightmare on Elm Street'', ''Enter the Dragon'', ''Joe Kidd'')","570020","True","No"
"Jagdeep","2020-07-08","Indian actor (''Sholay'', ''Purana Mandir'', ''Andaz Apna Apna'') and comedian","544052","True","No"
"Daniel Lewis Lee","2020-07-14","American white supremacist and convicted triple murderer","539802","True","No"
"Chadwick Boseman","2020-08-28","American actor (''Black Panther'', ''42'', ''Marshall'')","15469840","True","No"
"Wilford Brimley","2020-08-01","American actor (''The Natural'', ''The Thing'', ''Cocoon'') and singer","1084154","True","No"
"Pranab Mukherjee","2020-08-31","Indian politician","1081256","True","No"
"Robert Trump","2020-08-15","American business executive (The Trump Organization)","757414","True","No"
"Chi Chi DeVayne","2020-08-20","American drag queen (''RuPaul's Drag Race'')","641727","True","No"
"Tom Seaver","2020-08-31","American Hall of Fame baseball player (New York Mets, Cincinnati Reds, Chicago White Sox)","590761","True","No"
"Clifford Robinson","2020-08-29","American basketball player (Portland Trail Blazers, Phoenix Suns) and reality television personality (''Survivor: Cagayan'')","560737","True","No"
"Rahat Indori","2020-08-11","Indian lyricist (''Khuddar'', ''Mission Kashmir'', ''Meenaxi: A Tale of Three Cities'') and poet","523345","True","No"
"Justin Townes Earle","2020-08-20","American singer-songwriter","519538","True","No"
"Samir Sharma","2020-08-05","Indian actor (''Kahaani Ghar Ghar Kii'', ''Yeh Rishtey Hain Pyaar Ke'', ''Hasee Toh Phasee'')","502763","True","No"
"Ruth Bader Ginsburg","2020-09-18","American jurist","8870766","True","No"
"S. P. Balasubrahmanyam","2020-09-25","Indian playback singer (""Didi Tera Devar Deewana"") and actor (''Maya'', ''Mayabazar'')","2660128","True","No"
"Helen Reddy","2020-09-29","Australian-American singer (""I Am Woman"", ""Delta Dawn"") and actress (''Pete's Dragon'')","1619294","True","No"
"Dame Diana Rigg","2020-09-10","English actress (''The Avengers'', ''On Her Majesty's Secret Service'', ''Game of Thrones'')","1513045","True","No"
"Mac Davis","2020-09-29","American singer-songwriter (""Baby, Don't Get Hooked on Me"", ""It's Hard to Be Humble"") and actor (''North Dallas Forty'')","719144","True","No"
"Gale Sayers","2020-09-23","American Hall of Fame football player (Chicago Bears) and administrator (Southern Illinois)","591742","True","No"
"Road Warrior Animal","2020-09-22","American Hall of Fame professional wrestler (NWA, WWF, AJPW)","563307","True","No"
"Sir Sean Connery","2020-10-31","Scottish actor (''Dr. No'', ''The Untouchables'', ''Indiana Jones and the Last Crusade'')","6702361","True","No"
"Eddie Van Halen","2020-10-06","Dutch-born American Hall of Fame musician (Van Halen) and songwriter (""Eruption"", ""Panama"")","4815257","True","No"
"Conchata Ferrell","2020-10-12","American actress (''Two and a Half Men'', ''Edward Scissorhands'', ''Network'')","1039729","True","No"
"Ram Vilas Paswan","2020-10-08","Indian politician","835048","True","No"
"Diego Maradona","2020-11-25","Argentine footballer (Barcelona, Napoli, national team)","7087341","True","No"
"Alex Trebek","2020-11-08","Canadian-American game show host (''Jeopardy!'', ''High Rollers'', ''Classic Concentration'')","3368729","True","No"
"Peter Sutcliffe","2020-11-13","English serial killer","3068527","True","No"
"King Von","2020-11-06","American rapper","2343333","True","No"
"Tony Hsieh","2020-11-27","American internet entrepreneur (Zappos)","1003147","True","No"
"Des O'Connor","2020-11-14","English television presenter (''The Des O'Connor Show'', ''Des O'Connor Tonight'')","815670","True","No"
"Asif Basra","2020-11-12","Indian actor (''Outsourced'', ''One Night with the King'', ''Once Upon a Time in Mumbaai'')","781435","True","No"
"David Prowse","2020-11-28","English actor (''Star Wars'', ''A Clockwork Orange'', ''Jabberwocky'') and bodybuilder","631253","True","No"
"Papa Bouba Diop","2020-11-29","Senegalese footballer (Fulham, Portsmouth, national team)","555499","True","No"
"Brodie Lee","2020-12-26","American professional wrestler (AEW, WWE, ROH)","1601414","True","No"
"Dawn Wells","2020-12-30","American actress (''Gilligan's Island'', ''The Town That Dreaded Sundown'', ''Return to Boggy Creek'')","1118416","True","No"
"Dame Barbara Windsor","2020-12-10","English actress (''EastEnders'', ''Carry On'', ''Chitty Chitty Bang Bang'')","1074573","True","No"
"Chuck Yeager","2020-12-07","American Hall of Fame pilot","912981","True","No"
"Charley Pride","2020-12-12","American Hall of Fame singer (""Kiss an Angel Good Mornin'"", ""Is Anybody Goin' to San Antone"") and baseball player (Memphis Red Sox)","845426","True","No"
"Stella Tennant","2020-12-22","British model","834480","True","No"
"John le Carré","2020-12-12","British-Irish author (''Tinker Tailor Soldier Spy'', ''The Night Manager'', ''The Little Drummer Girl'')","697387","True","No"
"Samuel Little","2020-12-30","American serial killer","669850","True","No"
"Alexi Laiho","2020-12-29","Finnish death metal singer-songwriter and guitarist (Children of Bodom, Sinergy, The Local Band)","649366","True","No"
"V. J. Chitra","2020-12-09","Indian actress (''Mannan Magal'', ''Chinna Papa Periya Papa'', ''Darling Darling'')","632205","True","No"
"Paolo Rossi","2020-12-09","Italian footballer (Lanerossi Vicenza, Juventus, national team)","522970","True","No"
"Larry King","2021-01-23","American Hall of Fame broadcaster (''Larry King Live'', ''Larry King Now'', ''Politicking with Larry King'')","3136078","True","No"
"Cicely Tyson","2021-01-28","American Hall of Fame actress (''Sounder'', ''The Autobiography of Miss Jane Pittman'', ''The Trip to Bountiful'')","2990655","True","No"
"Tanya Roberts","2021-01-04","American actress (''A View to a Kill'', ''That '70s Show'', ''Charlie's Angels'')","2294170","True","No"
"Phil Spector","2021-01-16","American Hall of Fame record producer (Wall of Sound)","2127386","True","No"
"Sophie","2021-01-30","Scottish singer-songwriter (""Bipp"", ""Lemonade"") and record producer","1841833","True","No"
"Cloris Leachman","2021-01-27","American Hall of Fame actress (''The Mary Tyler Moore Show'', ''The Last Picture Show'', ''Young Frankenstein'')","1492941","True","No"
"Hank Aaron","2021-01-22","American Hall of Fame baseball player (Milwaukee/Atlanta Braves, Milwaukee Brewers, Indianapolis Clowns) and civil rights activist","1475198","True","No"
"Hal Holbrook","2021-01-23","American actor (''Mark Twain Tonight!'', ''All the President's Men'', ''Into the Wild'')","564749","True","No"
"Sheldon Adelson","2021-01-11","American casino owner","539005","True","No"
"Tommy Lasorda","2021-01-07","American Hall of Fame baseball manager (Los Angeles Dodgers) and player (Brooklyn Dodgers, Kansas City Athletics)","506833","True","No"
"Rush Limbaugh","2021-02-17","American Hall of Fame radio host (''The Rush Limbaugh Show'')","2782681","True","No"
"Christopher Plummer","2021-02-05","Canadian actor (''The Sound of Music'', ''Beginners'', ''All the Money in the World'')","2504176","True","No"
"Dustin Diamond","2021-02-01","American actor (''Saved by the Bell'', ''Purple People Eater'', ''Good Morning, Miss Bliss'') and comedian","2466149","True","No"
"Rajiv Kapoor","2021-02-09","Indian actor (''Ram Teri Ganga Maili'', ''Aasmaan'', ''Hum To Chale Pardes'')","1288248","True","No"
"Vincent Jackson","2021-02-15","American football player (San Diego Chargers, Tampa Bay Buccaneers)","825721","True","No"
"Chick Corea","2021-02-09","American jazz keyboardist (Return to Forever) and songwriter (""Spain"", ""500 Miles High"")","654312","True","No"
"Larry Flynt","2021-02-10","American publisher (''Hustler'')","608877","True","No"
"Mary Wilson","2021-02-08","American Hall of Fame singer (The Supremes)","579010","True","No"
"Sabine Schmitz","2021-03-16","German motor racer (Münnich Motorsport) and television presenter (''Top Gear'')","1317982","True","No"
"Jessica Walter","2021-03-24","American actress (''Arrested Development'', ''Archer'', ''Play Misty for Me'')","1301828","True","No"
"George Segal","2021-03-23","American actor (''Who's Afraid of Virginia Woolf?'', ''The Goldbergs'', ''A Touch of Class'')","1127428","True","No"
"Marvelous Marvin Hagler","2021-03-13","American Hall of Fame boxer","1053620","True","No"
"John Magufuli","2021-03-17","Tanzanian politician","656846","True","No"
"Beverly Cleary","2021-03-25","American children's author (''The Mouse and the Motorcycle'', ''Ramona'', ''Dear Mr. Henshaw'')","636010","True","No"
"Prince Philip, Duke of Edinburgh","2021-04-09","Greek-born British royal consort of Queen Elizabeth II (since 1952)","10262196","True","No"
"Helen McCrory","2021-04-16","English actress (''Peaky Blinders'', ''Harry Potter'', ''The Queen'')","3944553","True","No"
"Vivek","2021-04-17","Indian actor (''Run'', ''Saamy'', ''Parthiban Kanavu'') and comedian","1682423","True","No"
"Rohit Sardana","2021-04-30","Indian journalist (Zee News, Aaj Tak)","1474028","True","No"
"Bernie Madoff","2021-04-14","American investment advisor","1369948","True","No"
"Shock G","2021-04-22","American rapper (Digital Underground) and songwriter (""The Humpty Dance"", ""I Get Around"")","924133","True","No"
"Phillip Adams","2021-04-08","American football player (Seattle Seahawks, Oakland Raiders, New York Jets) and mass murderer (2021 Rock Hill shooting)","858617","True","No"
"Nikki Grahame","2021-04-09","English television personality (''Big Brother'', ''Princess Nikki'', ''Big Brother Canada'')","771619","True","No"
"Walter Mondale","2021-04-19","American politician","750997","True","No"
"Michael Collins","2021-04-28","American astronaut (Apollo 11)","629563","True","No"
"El Risitas","2021-04-28","Spanish comedian","536991","True","No"
"Tawny Kitaen","2021-05-07","American actress (''The Perils of Gwendoline in the Land of the Yik-Yak'', ''Bachelor Party'', ''Witchboard'')","1280018","True","No"
"Kentaro Miura","2021-05-06","Japanese manga artist (''Berserk'', ''Japan'', ''King of Wolves'')","990887","True","No"
"Charles Grodin","2021-05-18","American actor (''The Heartbreak Kid'', ''Midnight Run'', ''Beethoven'') and comedian","859306","True","No"
"Olympia Dukakis","2021-05-01","American actress (''Moonstruck'', ''Steel Magnolias'', ''Tales of the City'')","783013","True","No"
"Joe Lara","2021-05-29","American actor (''American Cyborg: Steel Warrior'', ''Steel Frontier'', ''Tarzan: The Epic Adventures'')","612190","True","No"
"Nick Kamen","2021-05-04","English model","598407","True","No"
"Gwen Shamblin Lara","2021-05-29","writer and dietician (Christian diet programs)","567423","True","No"
"Paul Mooney","2021-05-19","American actor (''The Buddy Holly Story'', ''Bamboozled'')","561506","True","No"
"B. J. Thomas","2021-05-29","American singer (""Raindrops Keep Fallin' on My Head"", ""Another Somebody Done Somebody Wrong Song"", ""Hooked on a Feeling"")","538282","True","No"
"Colt Brennan","2021-05-11","American football player (Hawaii Rainbow Warriors, Washington Redskins)","508066","True","No"
"John McAfee","2021-06-23","British-American computer programmer and businessman (McAfee Associates)","2992906","True","No"
"Milkha Singh","2021-06-18","Indian Olympic sprinter (1956, 1960, 1964) and writer (''The Race of My Life'')","1668145","True","No"
"Donald Rumsfeld","2021-06-29","American politician","874569","True","No"
"Raj Kaushal","2021-06-30","Indian film director (''Anthony Kaun Hai?'', ''Shaadi Ka Laddoo'', ''Pyaar Mein Kabhi Kabhi'') and producer","836263","True","No"
"Ned Beatty","2021-06-13","American actor (''Network'', ''Deliverance'', ''Superman'')","668524","True","No"
"Benigno Aquino III","2021-06-24","Filipino politician","605210","True","No"
"Dilip Kumar","2021-07-07","Indian actor (''Andaz'', ''Daag'', ''Qila'')","3077649","True","No"
"Joey Jordison","2021-07-26","American musician (Slipknot, Murderdolls, Sinsaenum)","1635677","True","No"
"Dusty Hill","2021-07-28","American Hall of Fame musician (ZZ Top) and songwriter (""Tush"")","1352332","True","No"
"Jovenel Moïse","2021-07-07","Haitian politician and entrepreneur","1150082","True","No"
"Biz Markie","2021-07-16","American rapper (""Just a Friend"") and actor (''Men in Black II'', ''Yo Gabba Gabba!'')","1135565","True","No"
"Charlie Watts","2021-08-24","English Hall of Fame drummer (The Rolling Stones, Blues Incorporated)","2005239","True","No"
"Sean Lock","2021-08-16","English comedian (''15 Storeys High'', ''8 Out of 10 Cats'', ''8 Out of 10 Cats Does Countdown'')","1949327","True","No"
"Ed Asner","2021-08-29","American actor (''The Mary Tyler Moore Show'', ''Lou Grant'', ''Up'')","1375925","True","No"
"Trevor Moore","2021-08-07","American comedian (''The Whitest Kids U' Know'') and actor (''Miss March'')","1337261","True","No"
"Markie Post","2021-08-07","American actress (''Night Court'', ''The Fall Guy'', ''Hearts Afire'')","860078","True","No"
"Una Stubbs","2021-08-12","English actress (''Till Death Us Do Part'', ''Worzel Gummidge'', ''Sherlock'')","660747","True","No"
"Jimmy Hayes","2021-08-23","American ice hockey player (Boston Bruins, Florida Panthers, Chicago Blackhawks)","549829","True","No"
"Nanci Griffith","2021-08-13","American singer-songwriter (""Love at the Five and Dime"", ""Outbound Plane"")","535038","True","No"
"Norm Macdonald","2021-09-14","Canadian comedian","4358442","True","No"
"Sidharth Shukla","2021-09-02","Indian actor (''Broken But Beautiful'', ''Balika Vadhu'', ''Dil Se Dil Tak'') and reality show contestant","3794633","True","No"
"Michael K. Williams","2021-09-06","American actor (''The Wire'', ''Boardwalk Empire'', ''12 Years a Slave'')","3276276","True","No"
"Willie Garson","2021-09-21","American actor (''Sex and the City'', ''White Collar'', ''John from Cincinnati'')","1646480","True","No"
"Sarah Harding","2021-09-05","English singer (Girls Aloud) and actress (''Run for Your Wife'', ''St Trinian's 2: The Legend of Fritton's Gold'')","1211551","True","No"
"Jimmy Greaves","2021-09-19","English Hall of Fame footballer (Chelsea, Tottenham Hotspur, national team)","755669","True","No"
"Jean-Paul Belmondo","2021-09-06","French actor (''Breathless'', ''That Man from Rio'', ''Pierrot le Fou'')","628900","True","No"
"Puneeth Rajkumar","2021-10-29","Indian actor (''Appu'', ''Abhi'', ''Maurya'')","5029321","True","No"
"Colin Powell","2021-10-18","American general and politician","2878969","True","No"
"Sir David Amess","2021-10-15","British politician","1396473","True","No"
"Halyna Hutchins","2021-10-21","Ukrainian-American cinematographer (''Archenemy'', ''Darlin''', ''Rust'')","1176699","True","No"
"James Michael Tyler","2021-10-24","American actor (''Friends'', ''Motel Blue'')","654739","True","No"
"Peter Scolari","2021-10-22","American actor (''Newhart'', ''Bosom Buddies'', ''Girls'')","597013","True","No"
"Alpo Martinez","2021-10-31","American drug dealer","585232","True","No"
"Octavio Ocaña","2021-10-29","Mexican actor (''Vecinos'', ''Lola: Once Upon a Time'', ''La mexicana y el güero'')","553535","True","No"
"Virgil Abloh","2021-11-28","American fashion designer","2087758","True","No"
"Stephen Sondheim","2021-11-26","American composer and lyricist (''West Side Story'', ''Company'', ''Sweeney Todd'')","2036460","True","No"
"Young Dolph","2021-11-17","American rapper","1674826","True","No"
"Dean Stockwell","2021-11-07","American actor (''Quantum Leap'', ''Married to the Mob'', ''Paris, Texas'')","592456","True","No"
"Betty White","2021-12-31","American actress (''The Golden Girls'', ''The Mary Tyler Moore Show'', ''Hot in Cleveland'') and comedian","9930363","True","No"
"Bipin Rawat","2021-12-08","chairman of the Chiefs of Staff Committee (2019)","3730576","True","No"
"John Madden","2021-12-28","American Hall of Fame football coach (Oakland Raiders) and sportscaster (''NFL on CBS'', ''NFL on Fox'')","2687932","True","No"
"Demaryius Thomas","2021-12-09","American football player (Denver Broncos, New York Jets, Houston Texans)","1581430","True","No"
"Bob Dole","2021-12-05","American politician","1462108","True","No"
"Desmond Tutu","2021-12-26","South African Anglican prelate and civil rights activist","1113856","True","No"
"Michael Nesmith","2021-12-10","American musician (The Monkees) and songwriter (""Different Drum"", ""Joanne"")","968635","True","No"
"Joan Didion","2021-12-23","American writer (''Run, River'', ''Slouching Towards Bethlehem'', ''The Year of Magical Thinking'')","794758","True","No"
"Vicente Fernández","2021-12-12","Mexican singer (""La Derrota"", ""Estos Celos"", ""El Último Beso"") and actor","725542","True","No"
"Harry Reid","2021-12-28","American politician","657962","True","No"
"Anne Rice","2021-12-11","American author (''The Vampire Chronicles'', ''Lives of the Mayfair Witches'')","575770","True","No"
"Bob Saget","2022-01-09","American comedian","7537776","True","No"
"Meat Loaf","2022-01-20","American singer (""Two Out of Three Ain't Bad"", ""I'd Do Anything for Love"") and actor (''The Rocky Horror Picture Show'')","4278161","True","No"
"Sidney Poitier","2022-01-06","Bahamian-American actor (''In the Heat of the Night'', ''Lilies of the Field'', ''Guess Who's Coming to Dinner'')","3026353","True","No"
"Louie Anderson","2022-01-21","American comedian","1276601","True","No"
"Cheslie Kryst","2022-01-30","American television presenter (''Extra'') and beauty queen (Miss USA 2019)","1213193","True","No"
"Gaspard Ulliel","2022-01-19","French actor (''Hannibal Rising'', ''Saint Laurent'', ''It's Only the End of the World'')","1107703","True","No"
"Ronnie Spector","2022-01-12","American Hall of Fame singer (The Ronettes)","1093635","True","No"
"Robert Durst","2022-01-10","American convicted murderer","708639","True","No"
"Peter Bogdanovich","2022-01-06","American film director (''The Last Picture Show'', ''What's Up, Doc?'', ''Paper Moon'')","644652","True","No"
"Kim Mi-soo","2022-01-05","South Korean actress (''Hi Bye, Mama!'', ''The School Nurse Files'', ''Snowdrop'')","560405","True","No"
"André Leon Talley","2022-01-18","American fashion journalist (''Vogue'')","560006","True","No"
"Thierry Mugler","2022-01-23","French fashion designer","550120","True","No"
"Lata Mangeshkar","2022-02-06","Indian playback singer (''Parichay'', ''Kora Kagaz'', ''Lekin...'')","4088306","True","No"
"Bappi Lahiri","2022-02-15","Indian singer","1076283","True","No"
"Jamal Edwards","2022-02-20","British entrepreneur","1040107","True","No"
"Mark Lanegan","2022-02-22","American musician (Screaming Trees, The Gutter Twins) and singer-songwriter (""Nearly Lost You"")","1020337","True","No"
"Ivan Reitman","2022-02-12","Czechoslovak-born Canadian film director (''Ghostbusters'', ''Meatballs'', ''Kindergarten Cop'') and producer","580566","True","No"
"Sally Kellerman","2022-02-24","American actress (''M*A*S*H'', ''Back to School'', ''Brewster McCloud'')","570102","True","No"
"Deep Sidhu","2022-02-15","Indian barrister","511378","True","No"
"Taylor Hawkins","2022-03-25","American Hall of Fame musician (Foo Fighters, Taylor Hawkins and the Coattail Riders, The Birds of Satan)","4718598","True","No"
"Shane Warne","2022-03-04","Australian Hall of Fame cricketer (Victoria, Hampshire, national team)","3257523","True","No"
"William Hurt","2022-03-13","American actor (''Kiss of the Spider Woman'', ''Broadcast News'', ''The Incredible Hulk'')","2563383","True","No"
"Scott Hall","2022-03-14","American Hall of Fame professional wrestler (WWF, WCW, TNA)","2005204","True","No"
"Madeleine Albright","2022-03-23","Czechoslovakian-born American politician","1443291","True","No"
"Tom Parker","2022-03-30","English pop singer (The Wanted)","896343","True","No"
"Naomi Judd","2022-04-30","American Hall of Fame country singer (The Judds) and songwriter (""Change of Heart"", ""Love Can Build a Bridge"")","3047662","True","No"
"Gilbert Gottfried","2022-04-12","American comedian","2943955","True","No"
"Dwayne Haskins","2022-04-09","American football player (Washington Redskins/Football Team, Pittsburgh Steelers)","1505543","True","No"
"Ray Liotta","2022-05-26","American actor (''Goodfellas'', ''Something Wild'', ''Field of Dreams'')","5193729","True","No"
"Sidhu Moose Wala","2022-05-29","Indian singer (""47"")","4153648","True","No"
"Andrew Symonds","2022-05-14","Australian cricketer (Queensland, Kent, national team)","968955","True","No"
"Fred Ward","2022-05-08","American actor (''Escape from Alcatraz'', ''The Right Stuff'', ''Tremors'')","955928","True","No"
"Andy Fletcher","2022-05-26","English Hall of Fame keyboardist (Depeche Mode)","890726","True","No"
"Dennis Waterman","2022-05-08","English actor (''Minder'', ''The Sweeney'', ''New Tricks'') and singer","765858","True","No"
"Vangelis","2022-05-17","Greek musician (Aphrodite's Child) and film composer (''Chariots of Fire'', ''Blade Runner'')","601650","True","No"
"Shireen Abu Akleh","2022-05-11","Palestinian-American journalist (Al Jazeera)","586493","True","No"
"Lil Keed","2022-05-13","American rapper (""Nameless"")","556787","True","No"
"Technoblade","2022-06-10","Internet Media Personality","1207844","True","No"
"Technoblade","2022-06-30","American YouTuber","1207844","True","No"
"Marion Barber III","2022-06-01","American football player (Dallas Cowboys, Chicago Bears)","607103","True","No"
"Tony Siragusa","2022-06-22","American football player (Indianapolis Colts, Baltimore Ravens)","590907","True","No"
"Billy Kametz","2022-06-09","American voice actor (''JoJo's Bizarre Adventure'', ''Pokémon'', ''Attack on Titan'')","551504","True","No"
"Caleb Swanigan","2022-06-20","American basketball player (Purdue Boilermakers, Portland Trail Blazers, Sacramento Kings)","541165","True","No"
"Mary Mara","2022-06-26","American actress (''Nash Bridges'', ''ER'', ''A Civil Action'')","525012","True","No"
"Shinzo Abe","2022-07-08","Japanese politician","4947548","True","No"
"Ivana Trump","2022-07-14","Czech-American businesswoman","3394670","True","No"
"James Caan","2022-07-06","American actor (''The Godfather'', ''Thief'', ''Misery'')","2744932","True","No"
"Bill Russell","2022-07-31","American Hall of Fame basketball player and coach (Boston Celtics, Seattle SuperSonics, Sacramento Kings)","1656801","True","No"
